variable_name,units,value,data_reference
zNa,dimensionless,1,known
R,J_per_K_per_mmol,0.008314,known
T,kelvin,310,user_defined
F,C_per_mmol,96.485,known
C_ref,mM,1.00E+03,known
q_ref,fmol,1.00E+03,known
V_o_ENaC,pL,2.00E+00,user_defined
V_i_ENaC,pL,2.00E+00,user_defined
q_ENaC_ENaC,fmol,6.40E-07,user_defined
C_Na_i_ENaC,mM,2.00E+01,parameter
C_Na_o_ENaC,mM,2.90E+02,parameter
u_G_1_ref_ENaC,J_per_mmol,-0.128867,Kellenberger_1998
u_G_2_ref_ENaC,J_per_mmol,-9.278424,Kellenberger_1998
kappa_2_ENaC,fmol_per_s_per_K,211076.902,to_be_fit
u_G_10_ENaC,J_per_mmol,1.00E+00,to_be_fit
u_G_Na_ENaC,J_per_mmol,-261.87,NIST
u_e_m_ENaC,volt,-0.06,parameter
